autor,ano,titulo,eixo,doi,tally,qualidade
Davis,1989,"Perceived usefulness, perceived ease of use, and user acceptance of information ",1,10.2307/249008,50000,alta
Venkatesh,2003,User acceptance of information technology: Toward a unified view (UTAUT),1,10.2307/30036540,30000,alta
Belanger,2008,Trust and risk in e-government adoption,1,10.1016/j.jsis.2007.12.002,1500,alta
VanDijk,2008,Explaining the acceptance and use of government Internet services: A multivariat,1,10.1016/j.giq.2007.09.006,200,alta
Panagiotopoulos,2019,Public value creation in digital government,1,10.1016/j.giq.2019.101421,141,alta
Stier,2018,Stages and determinants of e-government development: a twelve-year longitudinal ,1,10.1080/10967494.2018.1467987,58,alta
Almuraqab,2016,E-government adoption and user’s satisfaction: an empirical investigation,1,10.1108/emjb-05-2014-0016,53,alta
Janowski,2018,Digital government transformation,1,10.1145/3209281.3209302,35,alta
Tabbara,2023,Clarifying the Role of E-Government Trust in E-Government Success Models:  A Met,1,10.3127/ajis.v27i0.4079,12,alta
Priyashantha,2022,Determinants of E-government Adoption: A Systematic Literature Review,1,10.4038/kjhrm.v17i1.107,6,alta
Cordella,2025,Factors influencing the prioritization of rival public value positions in Brazil,1,10.1108/rausp-11-2023-0225,0,alta
Macadar,2025,"Servicos eletronicos de governo, datafication e data justice",1,10.59490/dgo.2025.1002,0,alta
VanDeursen,2018,The first-level digital divide shifts from inequalities in physical access to in,2,10.1177/1461444818797082,584,alta
Hilbert,2016,Gender and the Digital Divide in Latin America*,2,10.1111/ssqu.12270,78,alta
Lythreatis,2021,The digital divide: a literature review and some directions for future research ,2,10.1108/gkmc-06-2020-0075,64,alta
Büchi,2016,Modeling the second-level digital divide: A five-country study of social differe,3,10.1177/1461444815604154,172,alta
Lutz,2019,Digital inequalities in the age of artificial intelligence and big data,3,10.1002/hbe2.140,148,alta
Ebbers,2016,Impact of the digital divide on e-government: Expanding from channel choice to c,3,10.1016/j.giq.2016.08.007,93,alta
Lăzăroiu,2020,Citizens’ Involvement in E-Government in the European Union: The Rising Importan,3,10.3390/su12176807,27,alta
Araujo,2018,Servicos de governo eletronico no Brasil: uma analise a partir das medidas de ac,3,10.1590/0034-7612171925,18,alta
Reisdorf,2021,When being connected is not enough: an analysis of the second and third levels o,3,10.5325/jinfopoli.11.2021.0104,12,alta
Roztocki,2022,Digital footprints as barriers to accessing e-government services,3,10.1111/1758-5899.13140,9,alta
Castellacci,2018,Internet use and well-being: A survey and a theoretical framework,4,10.1016/j.respol.2017.11.007,238,alta
Browne,2021,Multivariate random forest prediction of poverty and malnutrition prevalence,5,10.1371/journal.pone.0255519,44,alta
McBride,2017,Is Random Forest a Superior Methodology for Predicting Poverty? An Empirical Ass,5,10.1002/pop4.169,23,media
van Deursen,2020,Digital Inequality During a Pandemic: Quantitative Study of Differences in COVID,6,10.2196/20073,131,alta
Cardoso,2020,A implementacao do Auxilio Emergencial como medida excepcional de protecao socia,6,10.1590/0034-761220200267,43,alta
García-Río,2023,Different approaches to analyzing e-government adoption during the Covid-19 pand,6,10.1016/j.giq.2023.101866,19,alta
